ID,DOX,x0,x1
429,2,0.173874,2.52151
430,2,0.17461,2.60269
431,2,0.175395,2.68386
432,2,0.176234,2.76502
433,2,0.177131,2.84618
434,2,0.178092,2.92735
435,2,0.179122,3.00853
436,2,0.180228,3.08973
437,2,0.181418,3.17096
438,2,0.182701,3.25223
439,2,0.184087,3.33355
440,2,0.185592,3.41496
441,2,0.18723,3.49649
442,2,0.189026,3.57818
443,2,0.191006,3.66011
444,2,0.193214,3.7424
445,2,0.195709,3.82521
446,2,0.198583,3.90885
447,2,0.201983,3.99377
448,2,0.206125,4.08051
449,2,0.2112,4.16859
450,2,0.21734,4.25753
451,2,0.224632,4.34698
452,2,0.233131,4.43672
453,2,0.242877,4.5266
454,2,0.253895,4.61652
455,2,0.266203,4.7064
456,2,0.279816,4.7962
457,2,0.294742,4.88585
458,2,0.310989,4.97532
459,2,0.328561,5.06457
460,2,0.347459,5.15357
461,2,0.367687,5.2423
462,2,0.389242,5.33071
463,2,0.412126,5.4188
464,2,0.436334,5.50653
465,2,0.461866,5.59388
466,2,0.488717,5.68083
467,2,0.516883,5.76735
468,2,0.54636,5.85342
469,2,0.577143,5.93902
470,2,0.609225,6.02413
471,2,0.642601,6.10873
472,2,0.677264,6.19279
473,2,0.713207,6.27629
474,2,0.750423,6.35922
475,2,0.788903,6.44156
476,2,0.82864,6.52328
477,2,0.869624,6.60437
478,2,0.911847,6.68481
479,2,0.9553,6.76457
480,2,0.999973,6.84364
481,2,1.04586,6.922
482,2,1.09294,6.99963
483,2,1.14121,7.07652
484,2,1.19066,7.15264
485,2,1.24128,7.22798
486,2,1.29305,7.30252
487,2,1.34596,7.37624
488,2,1.40001,7.44913
489,2,1.45517,7.52116
